Model,Seed,Prediction_Type,Role,MAE,RMSE,R2
Win+Loss,52,XI-constrained,Batsman,0.8148148148148148,1.0886621079036347,-1.6999999999999997
Win+Loss,52,XI-constrained,Batting Allrounder Spinner,1.037037037037037,1.1547005383792515,-3.1538461538461533
Win+Loss,52,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win+Loss,52,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win+Loss,52,XI-constrained,Pacer,0.6666666666666666,0.90267093384844,-1.0624999999999996
Win+Loss,52,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win+Loss,52,XI-constrained,OVERALL,0.5879629629629629,0.8471083712209392,0.24342402603272173
Win-only,62,Raw,Wicketkeeper,0.7029586884808237,0.7321053004824964,-4.426778981319985
Win-only,62,Raw,Batting Allrounder Pacer,0.5238738243812203,0.6420214758319286,-0.12965285145879024
Win-only,62,Raw,Batsman,0.7641022239603514,0.9307238643348428,-0.9734187455853034
Win-only,62,Raw,Batting Allrounder Spinner,1.0284056809401667,1.1759051941871685,-3.307807503193282
Win-only,62,Raw,Bowling Allrounder Spinner,0.4008856063152187,0.5896313038400984,-0.5644928351067853
Win-only,62,Raw,Bowling Allrounder Pacer,0.15767636374167163,0.16431043856955224,
Win-only,62,Raw,Pacer,0.6822018128267819,0.8009203965214822,-0.6237297502091994
Win-only,62,Raw,Spinner,0.5033378048914308,0.6985316154971972,-0.17785741262255472
Win-only,62,Raw,OVERALL,0.5954302506922081,0.766587615498635,0.3804188503516822
Win-only,62,XI-constrained,Wicketkeeper,0.8888888888888888,0.9428090415820634,-7.999999999999998
Win-only,62,XI-constrained,Batting Allrounder Pacer,0.37037037037037035,0.6085806194501846,-0.015037593984962294
Win-only,62,XI-constrained,Batsman,0.7037037037037037,0.9229582069908973,-0.9406249999999998
Win-only,62,XI-constrained,Batting Allrounder Spinner,1.3333333333333333,1.4401645996461911,-5.461538461538461
Win-only,62,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win-only,62,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win-only,62,XI-constrained,Pacer,0.7407407407407407,0.9428090415820634,-1.2499999999999996
Win-only,62,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win-only,62,XI-constrained,OVERALL,0.6064814814814815,0.8579691784155834,0.22389948476904997
Win+Loss,62,Raw,Wicketkeeper,0.7491020625514053,0.7863549300008976,-5.260835018859255
Win+Loss,62,Raw,Batting Allrounder Pacer,0.49368054193512995,0.6515507784741315,-0.16343581181259315
Win+Loss,62,Raw,Batsman,0.7486253628895391,0.9077704880688205,-0.8772826619292049
Win+Loss,62,Raw,Batting Allrounder Spinner,1.014869290841772,1.145654387080978,-3.0890169979103534
Win+Loss,62,Raw,Bowling Allrounder Spinner,0.43560522948499836,0.6074666450867917,-0.66057076201851
Win+Loss,62,Raw,Bowling Allrounder Pacer,0.18288195992768377,0.19567537789708686,
Win+Loss,62,Raw,Pacer,0.6157674909608585,0.7257240167307047,-0.3331469757887373
Win+Loss,62,Raw,Spinner,0.5497031090695382,0.7294333131596692,-0.28437479018221845
Win+Loss,62,Raw,OVERALL,0.5987793809576158,0.7620282648734699,0.3877669655698949
Win+Loss,62,XI-constrained,Wicketkeeper,0.8888888888888888,0.9428090415820634,-7.999999999999998
Win+Loss,62,XI-constrained,Batting Allrounder Pacer,0.48148148148148145,0.8388704928078611,-0.9285714285714284
Win+Loss,62,XI-constrained,Batsman,0.8148148148148148,1.0886621079036347,-1.6999999999999997
Win+Loss,62,XI-constrained,Batting Allrounder Spinner,1.037037037037037,1.1547005383792515,-3.1538461538461533
Win+Loss,62,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win+Loss,62,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win+Loss,62,XI-constrained,Pacer,0.6666666666666666,0.90267093384844,-1.0624999999999996
Win+Loss,62,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win+Loss,62,XI-constrained,OVERALL,0.5879629629629629,0.8471083712209392,0.24342402603272173
Win-only,72,Raw,Wicketkeeper,0.7029586884808237,0.7321053004824964,-4.426778981319985
Win-only,72,Raw,Batting Allrounder Pacer,0.5238738243812203,0.6420214758319286,-0.12965285145879024
Win-only,72,Raw,Batsman,0.7641022239603514,0.9307238643348428,-0.9734187455853034
Win-only,72,Raw,Batting Allrounder Spinner,1.0284056809401667,1.1759051941871685,-3.307807503193282
Win-only,72,Raw,Bowling Allrounder Spinner,0.4008856063152187,0.5896313038400984,-0.5644928351067853
Win-only,72,Raw,Bowling Allrounder Pacer,0.15767636374167163,0.16431043856955224,
Win-only,72,Raw,Pacer,0.6822018128267819,0.8009203965214822,-0.6237297502091994
Win-only,72,Raw,Spinner,0.5033378048914308,0.6985316154971972,-0.17785741262255472
Win-only,72,Raw,OVERALL,0.5954302506922081,0.766587615498635,0.3804188503516822
Win-only,72,XI-constrained,Wicketkeeper,0.8888888888888888,0.9428090415820634,-7.999999999999998
Win-only,72,XI-constrained,Batting Allrounder Pacer,0.37037037037037035,0.6085806194501846,-0.015037593984962294
Win-only,72,XI-constrained,Batsman,0.7037037037037037,0.9229582069908973,-0.9406249999999998
Win-only,72,XI-constrained,Batting Allrounder Spinner,1.3333333333333333,1.4401645996461911,-5.461538461538461
Win-only,72,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win-only,72,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win-only,72,XI-constrained,Pacer,0.7407407407407407,0.9428090415820634,-1.2499999999999996
Win-only,72,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win-only,72,XI-constrained,OVERALL,0.6064814814814815,0.8579691784155834,0.22389948476904997
Win+Loss,72,Raw,Wicketkeeper,0.7491020625514053,0.7863549300008976,-5.260835018859255
Win+Loss,72,Raw,Batting Allrounder Pacer,0.49368054193512995,0.6515507784741315,-0.16343581181259315
Win+Loss,72,Raw,Batsman,0.7486253628895391,0.9077704880688205,-0.8772826619292049
Win+Loss,72,Raw,Batting Allrounder Spinner,1.014869290841772,1.145654387080978,-3.0890169979103534
Win+Loss,72,Raw,Bowling Allrounder Spinner,0.43560522948499836,0.6074666450867917,-0.66057076201851
Win+Loss,72,Raw,Bowling Allrounder Pacer,0.18288195992768377,0.19567537789708686,
Win+Loss,72,Raw,Pacer,0.6157674909608585,0.7257240167307047,-0.3331469757887373
Win+Loss,72,Raw,Spinner,0.5497031090695382,0.7294333131596692,-0.28437479018221845
Win+Loss,72,Raw,OVERALL,0.5987793809576158,0.7620282648734699,0.3877669655698949
Win+Loss,72,XI-constrained,Wicketkeeper,0.8888888888888888,0.9428090415820634,-7.999999999999998
Win+Loss,72,XI-constrained,Batting Allrounder Pacer,0.48148148148148145,0.8388704928078611,-0.9285714285714284
Win+Loss,72,XI-constrained,Batsman,0.8148148148148148,1.0886621079036347,-1.6999999999999997
Win+Loss,72,XI-constrained,Batting Allrounder Spinner,1.037037037037037,1.1547005383792515,-3.1538461538461533
Win+Loss,72,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win+Loss,72,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win+Loss,72,XI-constrained,Pacer,0.6666666666666666,0.90267093384844,-1.0624999999999996
Win+Loss,72,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win+Loss,72,XI-constrained,OVERALL,0.5879629629629629,0.8471083712209392,0.24342402603272173
Win-only,82,Raw,Wicketkeeper,0.7029586884808237,0.7321053004824964,-4.426778981319985
Win-only,82,Raw,Batting Allrounder Pacer,0.5238738243812203,0.6420214758319286,-0.12965285145879024
Win-only,82,Raw,Batsman,0.7641022239603514,0.9307238643348428,-0.9734187455853034
Win-only,82,Raw,Batting Allrounder Spinner,1.0284056809401667,1.1759051941871685,-3.307807503193282
Win-only,82,Raw,Bowling Allrounder Spinner,0.4008856063152187,0.5896313038400984,-0.5644928351067853
Win-only,82,Raw,Bowling Allrounder Pacer,0.15767636374167163,0.16431043856955224,
Win-only,82,Raw,Pacer,0.6822018128267819,0.8009203965214822,-0.6237297502091994
Win-only,82,Raw,Spinner,0.5033378048914308,0.6985316154971972,-0.17785741262255472
Win-only,82,Raw,OVERALL,0.5954302506922081,0.766587615498635,0.3804188503516822
Win-only,82,XI-constrained,Wicketkeeper,0.8888888888888888,0.9428090415820634,-7.999999999999998
Win-only,82,XI-constrained,Batting Allrounder Pacer,0.37037037037037035,0.6085806194501846,-0.015037593984962294
Win-only,82,XI-constrained,Batsman,0.7037037037037037,0.9229582069908973,-0.9406249999999998
Win-only,82,XI-constrained,Batting Allrounder Spinner,1.3333333333333333,1.4401645996461911,-5.461538461538461
Win-only,82,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win-only,82,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win-only,82,XI-constrained,Pacer,0.7407407407407407,0.9428090415820634,-1.2499999999999996
Win-only,82,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win-only,82,XI-constrained,OVERALL,0.6064814814814815,0.8579691784155834,0.22389948476904997
Win+Loss,82,Raw,Wicketkeeper,0.7491020625514053,0.7863549300008976,-5.260835018859255
Win+Loss,82,Raw,Batting Allrounder Pacer,0.49368054193512995,0.6515507784741315,-0.16343581181259315
Win+Loss,82,Raw,Batsman,0.7486253628895391,0.9077704880688205,-0.8772826619292049
Win+Loss,82,Raw,Batting Allrounder Spinner,1.014869290841772,1.145654387080978,-3.0890169979103534
Win+Loss,82,Raw,Bowling Allrounder Spinner,0.43560522948499836,0.6074666450867917,-0.66057076201851
Win+Loss,82,Raw,Bowling Allrounder Pacer,0.18288195992768377,0.19567537789708686,
Win+Loss,82,Raw,Pacer,0.6157674909608585,0.7257240167307047,-0.3331469757887373
Win+Loss,82,Raw,Spinner,0.5497031090695382,0.7294333131596692,-0.28437479018221845
Win+Loss,82,Raw,OVERALL,0.5987793809576158,0.7620282648734699,0.3877669655698949
Win+Loss,82,XI-constrained,Wicketkeeper,0.8888888888888888,0.9428090415820634,-7.999999999999998
Win+Loss,82,XI-constrained,Batting Allrounder Pacer,0.48148148148148145,0.8388704928078611,-0.9285714285714284
Win+Loss,82,XI-constrained,Batsman,0.8148148148148148,1.0886621079036347,-1.6999999999999997
Win+Loss,82,XI-constrained,Batting Allrounder Spinner,1.037037037037037,1.1547005383792515,-3.1538461538461533
Win+Loss,82,XI-constrained,Bowling Allrounder Spinner,0.3333333333333333,0.5773502691896257,-0.5000000000000002
Win+Loss,82,XI-constrained,Bowling Allrounder Pacer,0.0,0.0,
Win+Loss,82,XI-constrained,Pacer,0.6666666666666666,0.90267093384844,-1.0624999999999996
Win+Loss,82,XI-constrained,Spinner,0.48148148148148145,0.693888666488711,-0.1622516556291389
Win+Loss,82,XI-constrained,OVERALL,0.5879629629629629,0.8471083712209392,0.24342402603272173
